country,newConfirmed,totalConfirmed,newDeath,newRecovered,totalRecovered
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
Iceland,49,2561,0,10,1
